feature	Parasutterella	Bifidobacterium	DNF00809	Enterorhabdus	Muribaculaceae	Bacteroides	Anaeroplasma	RF39	Romboutsia	Family_XIII_AD3011_group	X.Eubacterium._nodatum_group	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Turicibacter	Enterococcus	Lactobacillus	Erysipelatoclostridium	Erysipelatoclostridiaceae	Candidatus_Stoquefichus	Ileibacterium	Dubosiella	uncultured	Candidatus_Arthromitus	Clostridia_vadinBB60_group	uncultured.1	Christensenellaceae_R.7_group	Clostridium_sensu_stricto_1	uncultured.2	Peptococcus	Akkermansia	ASF356	Tuzzerella	Clostridia_UCG.014	Ruminococcus	Ruminococcaceae	uncultured.3	Anaerotruncus	uncultured.4	Harryflintia	Paludicola	Candidatus_Soleaferrea	UBA1819	Incertae_Sedis	X.Eubacterium._coprostanoligenes_group	Oscillibacter	Oscillospira	uncultured.5	uncultured.6	Monoglobus	UCG.005	UCG.009	Intestinimonas	Colidextribacter	NK4A214_group	UCG.010	Lachnoclostridium	Lachnospiraceae_NK4B4_group	Roseburia	A2	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.006	Dorea	uncultured.7	X.Eubacterium._ventriosum_group	X.Eubacterium._fissicatena_group	Marvinbryantia	GCA.900066575	X.Eubacterium._xylanophilum_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_FCS020_group	Lachnospiraceae_UCG.004	Acetatifactor	Blautia
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	0	0.118628810370053	0.0141125303815815	0.00997890030459186	0.737606803105917	0.0133053721667051	0.0110321300662712	0.093627291862421	0.155501842597708	0	0.0205057876618484	0.016631991274169	0.0115227053024588	0.138633004288437	0	0.180064350135589	0.0441419589358503	0	0	0	0.18206311196399	0	0.0191089851198234	0.0416898044770515	0.0232858185988437	0	0.146576369580312	0.028031108416322	0	0.452956316731224	0	0.0301249848787291	0.179907302906358	0.114070916332961	0.0257678336493632	0.0282278724443632	0	0.0408849710668355	0.0205057876618484	0.0110321300662712	0	0.0137148890012709	0.0530364810285044	0.102647945207698	0.0895579362729906	0	0.150805330756557	0	0.0306712713607196	0.0304902620658161	0.0266131005524429	0.0215582005230329	0.0912803833907783	0.0344137370817937	0.0162959267558209	0.0644570796569026	0	0.0412893443881357	0.0315607690505116	0.076650944862347	0.0205057876618484	0	0.0695897899334456	0.0862044419109335	0	0	0.0467030479489354	0.0453795056718311	0.247838575296952	0.016631991274169	0.010518703899887	0.0278329548749192	0
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep10_10dM30	0	0.138122864530162	0.00902737527328276	0.00957499366490343	0.442197394631677	0	0.0142738244038753	0.0553086012380951	0.0836911938002061	0.00451364165687933	0.0174820900863102	0.0110563066561594	0.0168892462239764	0.110972558002337	0	0.192225897987958	0.0174820900863102	0	0	0	0.468329718163625	0.0110563066561594	0.0302829542243638	0.0257344695060343	0.0204377351785146	0	0.117231367883989	0.0149705641720087	0.0263217773468848	0.5510939832371	0.00638327492152117	0.0171882233315712	0.229396655632328	0.120347669910817	0.0159587563238919	0	0.0105855897311861	0.0368158249952721	0.0115077883618846	0.0142738244038753	0	0	0.0666156835014278	0.0142738244038753	0.0741657176545508	0	0.128415612202477	0	0.0201869216418563	0.0333276163888732	0.0216482823068346	0.0346767709591424	0.10787588998324	0.0194150606266017	0.0206855094764743	0.0464873692737721	0	0.16813030366311	0	0.151498763806684	0.015636297418005	0.0285505580235561	0.104787099559176	0.0311130421353732	0.0180554863239472	0	0.0436585575151006	0.0110563066561594	0.251528494040217	0.0223431694734542	0.00957499366490343	0.0323970293800128	0.0240985031852627
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	0	0.173193755625823	0.0124734686044145	0.0173792226883389	0.585837022053239	0.013529438191116	0.0377935081840001	0.0946509720278148	0.15981085793935	0.00427826654377896	0.0258500456628432	0.0131868450485801	0.0157199545070779	0.152117101351556	0.0165703628235785	0.149374149004452	0.030855820650669	0	0	0	0.255607854719034	0	0	0.0652809553008382	0.0184025027156255	0	0.118179403442426	0.0238225605412807	0	0.489362226320945	0	0.027397616079169	0.238110869834403	0.144412362775731	0.0342327136464366	0.0287033380992759	0.010033562152521	0.0440615712423956	0.0230411388239159	0.0160084425219582	0	0.0145087724904946	0.0616667206257552	0.133052579881684	0.0864712382986637	0	0.15975259491849	0	0.0236296260826285	0.0305575965051136	0.0320209893720897	0.0294901015951658	0.078502286863319	0.0304073890053161	0.01937182812766	0.0790273132005854	0.0117167478045417	0.0702262830882302	0.0394537831104478	0.140505231912694	0.0327281894657524	0	0.0856698244277243	0.0972422044056195	0	0	0.0604648006498648	0.0727945827123888	0.257249190828987	0.0393375113508663	0	0.0318776693484057	0.0571100604549509
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	0	0.191061115152777	0	0.0270087222119613	0.59587152386013	0.0170067799562682	0.105925511491411	0.13012291905973	0.0729950086752012	0.0117609822299528	0.030301570052829	0.0237894532489409	0.0154572180633871	0.0860919451770979	0	0.293242503811371	0	0	0.0170067799562682	0	0.351345923920265	0.0283717087032637	0.032115805935393	0.0633757837065883	0	0.0499171988455619	0.117502512474999	0.0279247651055268	0	0.160692945800385	0.0154572180633871	0.0467918649204957	0.175775251207181	0.179820347155456	0.0496642433716855	0.0340184812844005	0.0218606780765241	0.0615594625687149	0.0150449197512008	0	0	0.0288117272208188	0.0771967909135327	0.0546169383220447	0.12840148782284	0	0.20755123094773	0.0106381641047226	0.0469262301672279	0.0589445014385283	0.0370296615938871	0.0441615451832672	0.168928500184878	0.0380356533644017	0.0600040962878834	0.0872583445713002	0.0162504728076639	0.0441615451832672	0.0846115644036614	0.0450087361831487	0.0487686021407815	0	0.131387423821548	0.101030049072071	0	0.0170067799562682	0.0866041585080322	0.13340534853715	0.303049706112254	0.0237894532489409	0.0177308681203425	0.077848191541937	0.0180820464106173
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	0	0.0777667414881266	0	0.0131697945909699	0.58408379483115	0	0.131411914708327	0.0882611255310255	0.0422780010803108	0.00588957498580375	0.0186254405982748	0.0204033838915942	0.0102011610638966	0.107519585997511	0	0.131411914708327	0	0	0	0	0.123573221127111	0.021641244389217	0.024285586531417	0.0825472881427466	0.00588957498580375	0.0484064183241074	0.0945573685350937	0.0363135490524266	0	0.0735085457172332	0.01501600637861	0.047317672682951	0.120849843896469	0.166249337941671	0.0306077312419087	0.0199737331028185	0.032263941544081	0.0842189934826487	0.0480462360748199	0.0110185451319624	0	0.0239257109851552	0.0949256878015796	0.0515352537305202	0.173330628856306	0	0.268268283715208	0	0.0228120724464659	0.0623694704560024	0.0448684606651149	0.0593703531576513	0.195963277058503	0.024285586531417	0.0372573464185431	0.102358361464242	0.0269925448169894	0.0816987282724317	0.0989760123257748	0.0598079613986563	0.0754946170155087	0	0.172768247929588	0.0720739140516479	0	0	0.110248911528857	0.0681016803000054	0.546460527292445	0.0186254405982748	0	0.108490593646555	0.0599531243629612
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep5_10dM25	0.00993878341403443	0.20051041323401	0	0.0296540989535962	0.704918946638517	0	0.0691982974232115	0.0891783933534728	0.0768671895766181	0	0.0201255298489983	0.013699870514467	0.00942874230450509	0.106362384973528	0.0233102403940795	0.35671498227137	0	0	0.0104239011465266	0	0.387741835873834	0.0196284618297112	0.0350046399388287	0.0581545837280453	0	0.0311178229880297	0.118794910068613	0.0213175792598584	0	0.0612233410981131	0.0291498824981317	0.0312762359589306	0.0997999394703674	0.116592539020167	0.0274023131539153	0.0281143653323093	0.0325158039587484	0.0492135213576308	0.00769849783051344	0.00942874230450509	0	0.0193751488375488	0.0576416277864894	0.0345784331786763	0.0813801733777703	0	0.172390992951717	0	0.0281143653323093	0.039764958068552	0.0332671193773424	0.0293189170369303	0.111971499994128	0.0338561867936904	0.0396404324662281	0.0924055259258267	0.00769849783051344	0.0239376520624294	0.0715223341860492	0	0.0391383765867893	0	0.0851929252354601	0.0459924012658692	0	0	0.0580694043305854	0.0664966775273153	0.312483921687325	0.0188583229657749	0.014402926334145	0.013699870514467	0.00888948886002814
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep6_10dM26	0	0.16460826687477	0	0.0263171706267438	0.771205865460824	0.0158686851607654	0.0636565800642199	0.0599363378712943	0.0463765396989612	0	0.0249122623747555	0.0207776089451923	0.0116144619232988	0.0877980481844409	0	0.312290305530959	0	0	0.00994597134637729	0	0.316160309218025	0.0182418403070735	0.0362422546315565	0.0677737181648696	0.0042409192233466	0.0433663607093278	0.0889233883901182	0.0234233135410277	0	0.139890735167924	0.015291401796303	0.0430538000514214	0.11585776100386	0.159296355427724	0.038646116170799	0.0308791725307885	0.0273235288068121	0.0507356295087826	0.029232594297705	0.0119953826746178	0	0.0232304909578348	0.0806646732602224	0.0380593608751379	0.092364898863226	0	0.162931129622598	0	0.0351069579713462	0.0338008997901134	0.0278130694720088	0.0209929581795845	0.118567741889742	0.0286103814147847	0.043779645818044	0.0681718365108348	0	0.0404667132094826	0.0567699504665058	0.0394529447269709	0.0290782879005826	0	0.107071946953317	0.0685676575941461	0	0	0.0584131073130965	0.146324929433609	0.274711100383105	0.0224426518335217	0.0127230627904353	0.0482794498467294	0.017741915542058
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep7_10dM27	0.0120635248979713	0.231555955221343	0	0.0376763437958558	0.542887702613756	0.00853009680870171	0.0729449676831014	0.100312353613869	0.0666707587391406	0.00853009680870171	0.026977479634858	0.0155741955294275	0.0139298713244951	0.0964667335623366	0.0197004501505819	0.360160010344211	0	0	0.0167015653353282	0	0.450721018401015	0.022837315254249	0.0394085513957262	0.0787239425807264	0	0.0334077917190231	0.11559632405389	0.0285081672065225	0	0.0464771442756147	0.0335889330306511	0.0368621310127197	0.112104477247263	0.134144342323054	0.031346330068121	0.0203068413203505	0.041945408430227	0.0574640937555457	0.029347058893436	0.00853009680870171	0	0.0197004501505819	0.0700517529258982	0.0319217337615703	0.106512974865601	0	0.210373522387336	0	0.0348305942309652	0.0455534564777871	0.0407712173711078	0.0334077917190231	0.126715226582704	0.0330425346030245	0.0452860951394672	0.11559632405389	0	0.0267516686009074	0.0863262447318184	0	0.0485226338744154	0	0.0984080872753559	0.0591319816148225	0	0	0.067935845194122	0.0840373674958464	0.37154043090965	0.0231013859397636	0.0139298713244951	0.0155741955294275	0.0139298713244951
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep8_10dM28	0	0.148677200715511	0	0	0.480227024289035	0.014156328578412	0.0352195272888877	0.071895042891447	0.13712683913162	0.00791344653181301	0.0209383229220302	0.0106170912817111	0.00791344653181301	0.12484328494755	0	0.271054748423949	0.0312603743095437	0	0	0	0.336281049922617	0.0154265980398476	0.023208621932594	0.0731085009866061	0.0169730897600285	0	0.169609861575789	0.0197053925543199	0.0176957432217833	0.54956694338261	0.00791344653181301	0.023208621932594	0.206479744622646	0.198274163519208	0.0203312007016845	0	0.0162182811145784	0.0369562799533238	0.0111914202214421	0.0122596377976584	0	0.00936335530008913	0.0367862882589181	0.0154265980398476	0.0691328755547174	0	0.101576864910444	0	0.0392590928405104	0.0183900325947559	0.0206369932901648	0.0245211186879809	0.0737077915168153	0.0264862778111785	0.0255226027190826	0.0453363805941511	0	0.118874676285593	0.0218173696593231	0.0810994582807061	0	0.0250268664894427	0.0942386067479963	0.0384524636575635	0.111242253254061	0.0145920399636182	0.0408246622986752	0.0845924588897415	0.257468497965821	0.0154265980398476	0	0.0269552104755942	0.0421841324375667
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep9_10dM29	0	0.116625032316218	0	0.016524394627996	0.472058898369919	0.0136443722042964	0.0131816886030185	0.0650996179252845	0.0765295071021209	0.00610179728495608	0.0149467536404849	0.0279654194063033	0.0233700867469907	0.101790289279671	0	0.17388975229185	0	0	0	0	0.336864211681575	0	0.0281865516908326	0.0311180122015497	0.0284059643856762	0	0.104456765478132	0.0196156702067034	0.0334269373959279	0.382229561760998	0	0.0220019815677283	0.173671133023197	0.106940916250407	0.025890465153661	0.00704576318403049	0.0202386281642074	0.073879144457188	0	0.00704576318403049	0.00498208631541406	0	0.0573793636344232	0.0145256035271701	0.117534322337799	0.0168958106638104	0.177745146970083	0	0.0543747106817627	0.0454043777090759	0	0.0382773191451051	0.133379887536186	0.0343432689714004	0.025890465153661	0.0713056918363498	0	0.401809348776295	0.0362779427870832	0.0811913270487373	0.0241538080802579	0.0205430280203456	0.267972650855668	0.0157553268980252	0.025160853269986	0	0.0528674103024604	0	0.307329533930713	0.025649565302728	0.0220019815677283	0.0332406446429235	0.0785383653225694
