feature	Parasutterella	Bifidobacterium	DNF00809	Enterorhabdus	Muribaculaceae	Bacteroides	Anaeroplasma	RF39	Romboutsia	Family_XIII_AD3011_group	X.Eubacterium._nodatum_group	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Turicibacter	Enterococcus	Lactobacillus	Erysipelatoclostridium	Erysipelatoclostridiaceae	Candidatus_Stoquefichus	Ileibacterium	Dubosiella	uncultured	Candidatus_Arthromitus	Clostridia_vadinBB60_group	uncultured.1	Christensenellaceae_R.7_group	Clostridium_sensu_stricto_1	uncultured.2	Peptococcus	Akkermansia	ASF356	Tuzzerella	Clostridia_UCG.014	Ruminococcus	Ruminococcaceae	uncultured.3	Anaerotruncus	uncultured.4	Harryflintia	Paludicola	Candidatus_Soleaferrea	UBA1819	Incertae_Sedis	X.Eubacterium._coprostanoligenes_group	Oscillibacter	Oscillospira	uncultured.5	uncultured.6	Monoglobus	UCG.005	UCG.009	Intestinimonas	Colidextribacter	NK4A214_group	UCG.010	Lachnoclostridium	Lachnospiraceae_NK4B4_group	Roseburia	A2	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.006	Dorea	uncultured.7	X.Eubacterium._ventriosum_group	X.Eubacterium._fissicatena_group	Marvinbryantia	GCA.900066575	X.Eubacterium._xylanophilum_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_FCS020_group	Lachnospiraceae_UCG.004	Acetatifactor	Blautia
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	0	0.0140069038767924	0.000199150292087095	9.95751460435475e-05	0.452281377234909	0.000177022481855196	0.000121702956275447	0.00874048504160028	0.023986546291379	0	0.00042042839440609	0.000276597627898743	0.000132766861391397	0.0190963002301292	0	0.0320742609311383	0.00194724730040715	0	0	0	0.032782350858559	0	0.000365108868826341	0.00173703310320411	0.000542131350681537	0	0.0213312090635511	0.000785537263232431	0	0.19151619755709	0	0.000907240219507877	0.0320189414055585	0.0129558328907771	0.000663834306956984	0.00079660116834838	0	0.00167064967250841	0.00042042839440609	0.000121702956275447	0	0.000188086386971145	0.00281023189945123	0.0104996459550363	0.00799920339883165	0	0.0225703664365374	0	0.000940431934855727	0.000929368029739777	0.000708089927420782	0.000464684014869888	0.00830899274207824	0.00118383784740662	0.000265533722782793	0.00414896441848115	0	0.00170384138785626	0.000995751460435475	0.00586386971145335	0.00042042839440609	0	0.00483492653567003	0.00741281642768632	0	0	0.0021795893078421	0.00205788635156665	0.0601765799256506	0.000276597627898743	0.000110639051159497	0.000774473358116481	0
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep10_10dM30	0	0.0189569114800856	8.14912906183152e-05	9.16777019456046e-05	0.183121116430681	0	0.000203728226545788	0.00305592339818682	0.00698787817052053	2.03728226545788e-05	0.000305592339818682	0.000122236935927473	0.000285219517164103	0.0122644392380564	0	0.0364979117856779	0.000305592339818682	0	0	0	0.20375878577977	0.000122236935927473	0.000916777019456046	0.000662116736273811	0.000417642864418865	0	0.0136803504125497	0.000224101049200367	0.000692675970255679	0.274177447285321	4.07456453091576e-05	0.000295405928491392	0.051706223897321	0.0144137720281145	0.000254660283182235	0	0.000112050524600183	0.00135479270652949	0.000132423347254762	0.000203728226545788	0	0	0.00443108892737089	0.000203728226545788	0.00549047570540898	0	0.0164001222369359	0	0.000407456453091576	0.00111031883467454	0.000468574921055312	0.00120199653662015	0.0115921360904553	0.000376897219109708	0.000427829275746155	0.00215951920138535	0	0.0280024447387185	0	0.0227768157278191	0.000244473871854945	0.000814912906183152	0.0109402057655088	0.000967709076092493	0.000325965162473261	0	0.00190485891820312	0.000122236935927473	0.0619435672812468	0.00049913415503718	9.16777019456046e-05	0.00104920036671081	0.000580625445655496
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	0	0.0296973524055313	0.000155579350044386	0.000302006973615573	0.305695119384272	0.000183034529463983	0.00142766932981907	0.00893208503784239	0.0253228271513421	1.83034529463983e-05	0.000668076032543539	0.000173882802990784	0.000247096614776378	0.0229616817212567	0.000274551794195975	0.022147178065142	0.000951779553212714	0	0	0	0.0639248094152962	0	0	0.00425555281003761	0.000338613879508369	0	0.0139014725127895	0.000567407041338348	0	0.220959283968921	0	0.000750441570802332	0.0556333452305777	0.0207103570088497	0.00117142098856949	0.000823655382587925	0.000100668991205191	0.00194016601231822	0.000530800135445552	0.000256248341249577	0	0.000210489708883581	0.00379796648637766	0.017598770007962	0.00745865707565732	0	0.0253045236983957	0	0.000558255314865149	0.000933476100266315	0.00102499336499831	0.000869414014953921	0.00614996018998984	0.000924324373793116	0.000375220785401166	0.00623232572824863	0.000137275897097988	0.00492362884258115	0.00155579350044386	0.0196121498320658	0.0010707519973643	0	0.00732138117855933	0.00942627826739514	0	0	0.00365153886280647	0.00528969790150912	0.0647301613449377	0.00154664177397066	0	0.00101584163852511	0.0032580146244589
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	0	0.036062316890694	0	0.000729293716757409	0.314979441461605	0.000289202680783111	0.0111783123137472	0.0168366256334167	0.00531881452048938	0.000138314325591922	0.000917904160746394	0.000565831331966955	0.000238906562386048	0.00739352940436822	0	0.0835544266871204	0	0	0.000289202680783111	0	0.118447358825083	0.000804737894353003	0.00103107042713979	0.00401111544216575	0	0.0024896578606546	0.0137434143519974	0.000779589835154472	0	0.0256007242641049	0.000238906562386048	0.00218788115027223	0.0305800399854141	0.0319883313005319	0.00246450980145607	0.00115681072313244	0.000477813124772096	0.00378478290937897	0.000226332532786782	0	0	0.000829885953551535	0.00594751600045266	0.00298004501502597	0.0163965345974424	0	0.0424624979567202	0.000113166266393391	0.00220045517987149	0.00347043216939733	0.00137056922631996	0.00194897458788618	0.0282664185391492	0.00144601340391555	0.00359617246538998	0.00759471387795647	0.000264054621584579	0.00194897458788618	0.0071420488123829	0.00202441876548177	0.00237649159426121	0	0.0171635504029976	0.0101723899458059	0	0.000289202680783111	0.00748154761156308	0.0176916596461668	0.0890618516515988	0.000565831331966955	0.000314350739981642	0.00604810823724679	0.000326924769580908
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	0	0.0060354844863768	0	0.000173433462252207	0.304080889366794	0	0.0171699127629685	0.00776981910889887	0.00178636466119773	3.46866924504414e-05	0.000346866924504414	0.000416240309405297	0.000104060077351324	0.0115159818935465	0	0.0171699127629685	0	0	0	0	0.0151927712932933	0.000468270348080959	0.000589673771657504	0.00679859172028651	3.46866924504414e-05	0.00234135174040479	0.00891447995976344	0.00131809431311677	0	0.00539378067604364	0.000225463500927869	0.00223729166305347	0.0145337241367349	0.0273851436896235	0.000936540696161918	0.000398896963180076	0.00104060077351324	0.00707608525989004	0.00230666504795435	0.000121403423576545	0	0.000572330425432283	0.00898385334466432	0.00265353197245877	0.0297438387762535	0	0.070257895558369	0	0.000520300386756621	0.00388490955444944	0.0020118281621256	0.0035206992837198	0.0379125548483324	0.000589673771657504	0.00138746769801766	0.0104406944275829	0.000728420541459269	0.00665984495048475	0.00976430392479925	0.00357272932239546	0.00568861756187239	0	0.0295530619677761	0.00518566052134099	0	0	0.012105655665204	0.00463067344213393	0.270053244072911	0.000346866924504414	0	0.0117241020482492	0.00359007266862068
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep5_10dM25	9.87761633362637e-05	0.0396685071958435	0	0.000879107853692747	0.419867837493456	0	0.00478076630547516	0.00793172591590197	0.00589693695117494	0	0.000404982269678681	0.000187674710338901	8.88985470026373e-05	0.0112703602366677	0.00054326889834945	0.121939173638618	0	0	0.00010865377966989	0	0.142958741196574	0.000385227037011428	0.00122482442536967	0.00337814478610022	0	0.000968006400695384	0.0140459704264167	0.000454370351346813	0	0.00374361659044439	0.000849475004691868	0.000977884017029011	0.0099270044152945	0.0135323343770681	0.000750698841355604	0.00079020930669011	0.00105690494769802	0.00242001600173846	5.92656980017582e-05	8.88985470026373e-05	0	0.000375349420677802	0.00331887908809846	0.00119519157636879	0.00660812532719604	0	0.029425419057873	0	0.00079020930669011	0.00158041861338022	0.00110629302936615	0.000859352621025494	0.0124853070457037	0.00114580349470066	0.00157054099704659	0.00851450527958593	5.92656980017582e-05	0.000572901747350329	0.00510672764448483	0	0.00153103053171209	0	0.00724029277254813	0.00211380989539604	0	0	0.00336826716976659	0.00441529450113099	0.0945090330801371	0.000355594188010549	0.000207429943006154	0.000187674710338901	7.9020930669011e-05
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep6_10dM26	0	0.0268520350353411	0	0.000692433589323933	0.485809607740868	0.00025179403248143	0.00404668980773727	0.00358806496286038	0.00214924192010935	0	0.000620492437186382	0.000431646912825309	0.000134889660257909	0.00768871063470081	0	0.0943957842484847	0	0	9.89190841891333e-05	0	0.0966709231848348	0.000332727828636176	0.00131292602651031	0.00458624844876891	1.79852880343879e-05	0.00187946259959353	0.00788654880307908	0.00054855128504883	0	0.0194420963651733	0.000233808744447042	0.00185248466754195	0.0133630690095502	0.0251614179601086	0.00149277890685419	0.000953220265822557	0.000746389453427097	0.00257189618891747	0.000854301181633424	0.000143882304275103	0	0.000539558641031636	0.00649268898041402	0.00144781568676822	0.00850704124026546	0	0.0263124763943095	0	0.00123199223035557	0.00114206579018363	0.000773367385478678	0.000440639556842503	0.0139925540907538	0.000818330605564648	0.00191543317566231	0.00464020431287207	0	0.0016366612111293	0.00321936655815543	0.00155572741497455	0.00084530853761623	0	0.0114206579018363	0.00469416017697523	0	0	0.0034082120825165	0.0212586104566465	0.073586805992698	0.00050358806496286	0.000161867592309491	0.00232909480045323	0.000314742540601788
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep7_10dM27	0.000145521573573282	0.0526666828357304	0	0.0014188353423395	0.2668865659334	7.27607867866411e-05	0.0053115374354248	0.0100288617787587	0.00443840799398511	7.27607867866411e-05	0.000727607867866411	0.00024253595595547	0.000194028764764376	0.00927700031529674	0.000388057529528753	0.124202663044796	0	0	0.000278916349348791	0	0.18976013193956	0.000521452305304261	0.00155223011811501	0.0061846668768645	0	0.00111566539739516	0.0133030971841576	0.000812495452450826	0	0.00215857000800369	0.00112779219519294	0.00135820135335063	0.0125148553273023	0.0178870267517159	0.000982270621619655	0.0004123111251243	0.00175838568067716	0.0032984890009944	0.00086100264364192	7.27607867866411e-05	0	0.000388057529528753	0.0048992263103005	0.00101865101501298	0.0113021755475249	0	0.0436079648807936	0	0.00121267977977735	0.00207368242341927	0.00166137129829497	0.00111566539739516	0.0159709926996677	0.00109141180179962	0.00204942882782372	0.0133030971841576	0	0.000715481070068638	0.00743372705003517	0	0.00235259877276806	0	0.00965293104702772	0.00349251776575877	0	0	0.00460818316315394	0.00704566952050641	0.131806165264	0.000533579103102035	0.000194028764764376	0.00024253595595547	0.000194028764764376
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep8_10dM28	0	0.021942513620139	0	0	0.213426012899994	0.000200388252238712	0.00123990231072703	0.00515999749514685	0.0186862045212599	6.26213288245977e-05	0.000438349301772184	0.000112718391884276	6.26213288245977e-05	0.0155050410169704	0	0.0716888972383994	0.000976892729663723	0	0	0	0.10888596656021	0.000237961049533471	0.00053854342789154	0.00533533721585572	0.000288058112593149	0	0.0284927046151919	0.000388252238712506	0.000313106644122988	0.272816081157242	6.26213288245977e-05	0.00053854342789154	0.0420314359070699	0.0388001753397207	0.000413300770242345	0	0.00026300958106331	0.00136514496837623	0.000125242657649195	0.000150291189179034	0	8.76698603544367e-05	0.00135262070261131	0.000237961049533471	0.00477174525643434	0	0.0102824221929989	0	0.0015404846890851	0.000338155175652827	0.000425825036007264	0.000601164756716138	0.00542300707621016	0.000701358882835494	0.000651261819775816	0.0020539795854468	0	0.0140647504540046	0.000475922099066942	0.00656271526081783	0	0.000626213288245977	0.00885465589579811	0.0014778633602605	0.0123238775126808	0.000212912518003632	0.0016657273467343	0.00713883148600413	0.0648381238649884	0.000237961049533471	0	0.000726407414365333	0.00177844573861857
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep9_10dM29	0	0.013539843876044	0	0.000273030765603088	0.206771162986957	0.000186157340183923	0.000173746850838329	0.00423197686684786	0.0058453404817752	3.72314680367847e-05	0.000223388808220708	0.000781860828772478	0.000546061531206175	0.010325527135535	0	0.0299341003015749	0	0	0	0	0.109249537709272	0	0.000794271318118073	0.000968018168956402	0.000806681807463668	0	0.0108715886667411	0.000384725169713442	0.00111694404110354	0.139121585564119	0	0.000484009084478201	0.0298596373655013	0.0113928292192561	0.000670166424662124	4.96419573823796e-05	0.000409546148404632	0.00544820482271616	0	4.96419573823796e-05	2.48209786911898e-05	0	0.00328877967658265	0.000210978318875113	0.0137508221949191	0.000285441254948683	0.0312620226615535	0	0.00295369646425159	0.00206014123136875	0	0.0014644377427802	0.0176849473174727	0.00117899648783152	0.000670166424662124	0.00507589014234831	0	0.152946870695112	0.00131551187063306	0.00657755935316529	0.00058329299924296	0.000421956637750227	0.0701068543132656	0.000248209786911898	0.00063293495662534	0	0.00279236010275885	0	0.0915149484344168	0.00065775593531653	0.000484009084478201	0.00110453355175795	0.00615560271541507
