feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dubosiella	Time_of_Collection_categorical	30_days	-0.213000402442955	0.0384002985945903	20	20	2.8881180243721e-05	0.00120692599892485
Clostridium_sensu_stricto_1	Time_of_Collection_categorical	30_days	-0.0520674783113364	0.00949676625869315	20	20	3.30664657239686e-05	0.00120692599892485
Bifidobacterium	Time_of_Collection_categorical	30_days	-0.0824032223403337	0.0167660622278596	20	20	0.000111659829484745	0.00271705585079547
