sample-id	mouse-id	Sex	Strain	Animal_source	age	Unit_age	light_cycle	diet	feeding_schedule	Protocol REF	ionizing_radiation	dose	Unit	Time_of_Sample_Collection_After_Treatment	Unit_time	Time_of_Collection_categorical	dose_categorical
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	Mouse 21	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	Mouse 22	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	Mouse 23	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	Mouse 24	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep5_10dM25	Mouse 25	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep6_10dM26	Mouse 26	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep7_10dM27	Mouse 27	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep8_10dM28	Mouse 28	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep9_10dM29	Mouse 29	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep10_10dM30	Mouse 30	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
